,ano_indices,ano_targets
0,458,0
1,524,0
2,760,1
3,715,2
4,897,3
5,913,4
6,731,5
7,595,6
8,720,6
9,773,6
10,787,6
11,909,6
12,914,6
13,744,7
14,688,8
15,696,8
16,744,8
17,762,8
18,778,8
19,801,8
20,812,8
21,841,8
22,846,8
23,925,8
24,687,9
25,919,9
26,938,9
27,141,10
28,490,10
29,696,10
30,734,10
31,896,10
32,905,10
33,922,10
34,744,11
35,801,11
36,920,11
37,366,12
38,924,12
39,320,13
40,351,13
41,456,13
42,401,14
43,641,15
44,34,16
45,205,16
46,283,16
47,731,16
48,744,16
49,764,16
50,917,16
51,918,16
52,702,17
53,744,17
54,888,18
55,511,19
56,705,20
57,142,21
58,362,22
59,800,23
60,826,23
61,828,23
62,895,23
63,744,24
64,585,25
65,917,25
66,394,26
67,836,27
68,904,27
69,917,27
70,526,28
71,272,29
72,59,30
73,177,30
74,532,30
75,744,30
76,918,30
77,921,30
78,151,31
79,713,31
80,714,31
81,744,32
82,857,33
83,888,34
84,896,34
85,776,35
86,913,36
87,521,37
88,396,38
89,744,39
90,825,40
91,773,41
92,896,42
93,819,43
94,329,44
95,757,45
96,913,46
97,577,47
98,831,48
99,916,48
100,566,49
101,775,49
102,801,49
103,845,49
104,914,49
105,925,49
106,222,50
107,706,51
108,206,52
109,745,53
110,391,54
111,696,54
112,737,54
113,744,54
114,755,54
115,913,55
116,744,56
117,658,57
118,792,57
119,841,57
120,908,57
121,833,58
122,836,59
123,899,59
124,556,60
125,857,60
126,696,61
127,725,62
128,144,63
129,320,63
130,523,63
131,745,63
132,775,63
133,922,64
134,511,65
135,917,66
136,913,67
137,862,68
138,213,69
139,525,70
140,583,70
141,320,71
142,810,72
143,877,73
144,488,74
145,713,74
146,647,75
147,917,76
148,912,77
149,845,78
150,768,79
151,104,80
152,422,80
153,654,80
154,700,80
155,701,80
156,744,80
157,366,81
158,778,81
159,789,81
160,805,81
161,834,81
162,768,82
163,759,83
164,918,83
165,932,83
166,76,84
167,517,85
168,913,86
169,725,87
170,796,87
171,798,87
172,815,87
173,870,87
174,878,87
175,469,88
176,507,88
177,538,88
178,846,88
179,887,88
180,907,88
181,543,89
182,570,89
183,579,89
184,642,89
185,706,89
186,709,89
187,733,89
188,744,89
189,755,89
190,767,89
191,775,89
192,876,89
193,229,90
194,715,91
195,931,92
196,913,93
197,370,94
198,409,94
199,430,94
200,647,94
201,878,94
202,898,94
203,900,94
204,919,94
205,920,94
206,928,94
207,940,94
208,770,95
209,831,95
210,875,96
211,697,97
212,700,97
213,524,98
214,334,99
215,526,99
216,717,99
217,744,99
218,743,100
219,913,101
220,940,102
221,702,103
222,702,104
223,777,104
224,737,105
225,772,105
226,790,105
227,265,106
228,520,106
229,558,106
230,522,107
231,711,108
232,896,109
233,321,110
234,526,110
235,744,110
236,774,110
237,780,110
238,835,110
239,884,110
240,901,110
241,918,110
242,933,110
243,527,111
244,694,111
245,925,111
246,780,112
247,914,113
248,744,114
249,918,114
250,914,115
251,327,116
252,933,117
253,706,118
254,694,119
255,521,120
256,565,120
257,579,120
258,642,120
259,828,120
260,893,120
261,913,120
262,716,121
263,104,122
264,913,122
265,919,122
266,677,123
267,368,124
268,914,124
269,928,124
270,601,125
271,902,126
272,902,127
273,782,128
274,465,129
275,524,130
276,650,130
277,721,130
278,836,130
279,899,130
280,913,130
281,250,131
282,390,131
283,710,131
284,745,131
285,771,131
286,897,131
287,914,131
288,918,131
289,925,131
290,933,131
291,386,132
292,701,132
293,744,132
294,813,132
295,825,132
296,896,132
297,913,132
298,317,133
299,396,133
300,445,133
301,742,133
302,744,133
303,897,133
304,905,133
305,913,133
306,914,133
307,919,133
308,660,134
309,636,135
310,651,135
311,760,136
312,141,137
313,826,138
314,465,139
315,797,140
316,896,141
317,712,142
318,830,142
319,913,143
320,448,144
321,815,145
322,768,146
323,362,147
324,711,148
325,208,149
326,917,150
327,348,151
328,932,152
329,915,153
330,917,154
331,533,155
332,834,155
333,893,155
334,902,156
335,911,156
336,650,157
337,721,158
338,175,159
339,176,159
340,177,159
341,321,159
342,333,159
343,334,159
344,519,159
345,526,159
346,901,159
347,913,159
348,915,159
349,918,159
350,922,159
351,936,159
352,313,160
353,429,160
354,445,160
355,744,160
356,839,160
357,841,160
358,920,160
359,902,161
360,694,162
361,701,162
362,755,162
363,854,162
364,324,163
365,332,164
366,366,164
367,418,164
368,450,164
369,535,164
370,738,164
371,288,165
372,464,165
373,790,165
374,791,165
375,799,165
376,897,165
377,898,165
378,917,165
379,922,165
380,207,166
381,911,167
382,207,168
383,914,169
384,216,170
385,509,170
386,523,170
387,773,170
388,775,170
389,776,170
390,878,170
391,896,170
392,848,171
393,377,172
394,398,172
395,399,172
396,445,172
397,774,172
398,898,172
399,913,172
400,123,173
401,643,173
402,696,173
403,745,173
404,757,173
405,760,173
406,847,173
407,864,173
408,873,173
409,899,173
410,913,173
411,919,173
412,920,173
413,937,173
414,891,174
415,362,175
416,696,176
417,757,176
418,539,177
419,347,178
420,780,179
421,771,180
422,663,181
423,727,181
424,914,181
425,581,182
426,891,183
427,835,184
428,327,185
429,334,185
430,704,185
431,831,185
432,542,186
433,598,186
434,628,186
435,634,186
436,635,186
437,745,186
438,780,186
439,812,186
440,834,186
441,839,186
442,896,186
443,921,186
444,923,186
445,934,186
446,80,187
447,49,188
448,180,188
449,526,188
450,801,188
451,332,189
452,357,189
453,803,189
454,920,189
455,60,190
456,893,191
457,327,192
458,329,193
459,364,193
460,391,193
461,637,193
462,735,193
463,559,194
464,913,194
465,642,195
466,731,196
467,48,197
468,90,197
469,834,198
470,778,199
471,208,200
472,326,201
473,840,202
474,700,203
475,716,203
476,723,203
477,744,203
478,773,203
479,778,203
480,787,203
481,817,203
482,918,204
483,696,205
484,834,206
485,778,207
486,790,207
487,622,208
488,775,209
489,615,210
490,871,210
491,521,211
492,759,212
493,794,213
494,206,214
495,262,215
496,913,216
497,919,216
498,410,217
499,725,217
500,740,217
501,449,218
502,272,219
503,702,219
504,761,219
505,775,219
506,782,219
507,896,219
508,897,219
509,905,219
510,916,219
511,917,219
512,919,219
513,361,220
514,701,220
515,731,220
516,737,220
517,742,220
518,755,220
519,186,221
520,515,221
521,752,221
522,841,221
523,626,222
524,659,222
525,685,222
526,692,222
527,703,222
528,705,222
529,706,222
530,714,222
531,738,222
532,755,222
533,756,222
534,758,222
535,765,222
536,766,222
537,785,222
